RoleName,RoleArn
AccessAnalyzerTrustedService,arn:aws:iam::596905249077:role/AccessAnalyzerTrustedService
Admin,arn:aws:iam::596905249077:role/Admin
AVMContainersUserRole,arn:aws:iam::596905249077:role/AVMContainersUserRole
AWS-QuickSetup-EnableCRecording-62d8q_us-east-2,arn:aws:iam::596905249077:role/AWS-QuickSetup-EnableCRecording-62d8q_us-east-2
AWS-QuickSetup-EnableCRecording-62d8q_us-west-2,arn:aws:iam::596905249077:role/AWS-QuickSetup-EnableCRecording-62d8q_us-west-2
AWS-QuickSetup-StackSet-Local-AdministrationRole,arn:aws:iam::596905249077:role/AWS-QuickSetup-StackSet-Local-AdministrationRole
AWS-QuickSetup-StackSet-Local-ExecutionRole,arn:aws:iam::596905249077:role/AWS-QuickSetup-StackSet-Local-ExecutionRole
AWSControlTowerExecution,arn:aws:iam::596905249077:role/AWSControlTowerExecution
awslogs.prod.kelex.molecule.toppatterns,arn:aws:iam::596905249077:role/awslogs.prod.kelex.molecule.toppatterns
AwsSecurityAudit,arn:aws:iam::596905249077:role/AwsSecurityAudit
AwsSecurityNacundaAudit,arn:aws:iam::596905249077:role/AwsSecurityNacundaAudit
AWSVAPTAudit,arn:aws:iam::596905249077:role/AWSVAPTAudit
CloudSecAuditRole,arn:aws:iam::596905249077:role/CloudSecAuditRole
CloudSeerTrustedServiceRole,arn:aws:iam::596905249077:role/CloudSeerTrustedServiceRole
CodeGuruProfilerForwardToAmazonProfiler,arn:aws:iam::596905249077:role/CodeGuruProfilerForwardToAmazonProfiler
DiscoveryAnalyzerTrustedService-DO-NOT-DELETE,arn:aws:iam::596905249077:role/DiscoveryAnalyzerTrustedService-DO-NOT-DELETE
EC2CapacityReservationService,arn:aws:iam::596905249077:role/EC2CapacityReservationService
GatedGardenAudit,arn:aws:iam::596905249077:role/GatedGardenAudit
GatedGardenInternalAudit,arn:aws:iam::596905249077:role/GatedGardenInternalAudit
IibsAdminAccess-DO-NOT-DELETE,arn:aws:iam::596905249077:role/IibsAdminAccess-DO-NOT-DELETE
IMDSv2-automigrator,arn:aws:iam::596905249077:role/IMDSv2-automigrator
InternalAuditInternal,arn:aws:iam::596905249077:role/InternalAuditInternal
IsengardAuditorRole-DO-NOT-DELETE,arn:aws:iam::596905249077:role/IsengardAuditorRole-DO-NOT-DELETE
IsengardCloudTrailRole,arn:aws:iam::596905249077:role/IsengardCloudTrailRole
IsengardConfigRole,arn:aws:iam::596905249077:role/IsengardConfigRole
IsengardRole-DO-NOT-DELETE,arn:aws:iam::596905249077:role/IsengardRole-DO-NOT-DELETE
IsengardRoleForDependencyAssuranceIamAnalyzer,arn:aws:iam::596905249077:role/IsengardRoleForDependencyAssuranceIamAnalyzer
IsengardRoleForOptInComputeOptimizer,arn:aws:iam::596905249077:role/IsengardRoleForOptInComputeOptimizer
NawsApplicationMetrics-DO-NOT-DELETE,arn:aws:iam::596905249077:role/NawsApplicationMetrics-DO-NOT-DELETE
OrganizationsReadOnlyAccess,arn:aws:iam::596905249077:role/OrganizationsReadOnlyAccess
OrthancRole,arn:aws:iam::596905249077:role/OrthancRole
ResourceConfigurationCollector-DO-NOT-DELETE,arn:aws:iam::596905249077:role/ResourceConfigurationCollector-DO-NOT-DELETE
ShadowTrooperRole,arn:aws:iam::596905249077:role/ShadowTrooperRole
stacksets-exec-07747c4a75e4555357cbac8c04dfd877,arn:aws:iam::596905249077:role/stacksets-exec-07747c4a75e4555357cbac8c04dfd877
TestPowerUser,arn:aws:iam::596905249077:role/TestPowerUser
TurtleRoleManagement,arn:aws:iam::596905249077:role/TurtleRoleManagement
XenaAuditorRole-DO-NOT-DELETE,arn:aws:iam::596905249077:role/XenaAuditorRole-DO-NOT-DELETE
