RoleName,RoleArn,UnderCFN,CFNStackName
CdkWorkshopTestStack-HelloHitCounterHitCounterHand-JQKMU1RA0JSN,arn:aws:iam::909180469036:role/CdkWorkshopTestStack-HelloHitCounterHitCounterHand-JQKMU1RA0JSN,Yes,CdkWorkshopTestStack
CdkWorkshopTestStack-ViewHitCounterRenderedService-SK4JMA5PAFO5,arn:aws:iam::909180469036:role/CdkWorkshopTestStack-ViewHitCounterRenderedService-SK4JMA5PAFO5,Yes,CdkWorkshopTestStack
CFCT-Stack-CustomControlTowerCodeBuildRole-5BYRCLQSFX2H,arn:aws:iam::909180469036:role/CFCT-Stack-CustomControlTowerCodeBuildRole-5BYRCLQSFX2H,Yes,CFCT-Stack
CFCT-Stack-CustomControlTowerPipelineTriggerRole-15AMV7I91PSQ,arn:aws:iam::909180469036:role/CFCT-Stack-CustomControlTowerPipelineTriggerRole-15AMV7I91PSQ,Yes,CFCT-Stack
CFCT-Stack-SCPCodeBuildRole-WUDKWO40TWE,arn:aws:iam::909180469036:role/CFCT-Stack-SCPCodeBuildRole-WUDKWO40TWE,Yes,CFCT-Stack
CFCT-Stack-StackSetCodeBuildRole-F6WXG5CVB6PH,arn:aws:iam::909180469036:role/CFCT-Stack-StackSetCodeBuildRole-F6WXG5CVB6PH,Yes,CFCT-Stack
CFCT-Stack-StateMachineRole-IGQYW6E2QZC0,arn:aws:iam::909180469036:role/CFCT-Stack-StateMachineRole-IGQYW6E2QZC0,Yes,CFCT-Stack
cloud9-Admin,arn:aws:iam::909180469036:role/cloud9-Admin,No,
cloudsec-identitycenter,arn:aws:iam::909180469036:role/cloudsec-identitycenter,No,
cloudsec-identitycenter-assignments-write,arn:aws:iam::909180469036:role/cloudsec-identitycenter-assignments-write,Yes,IAM-Identity-Center-Pipeline
cloudsec-identitycenter-codepipeline-write,arn:aws:iam::909180469036:role/cloudsec-identitycenter-codepipeline-write,Yes,IAM-Identity-Center-Pipeline
cloudsec-identitycenter-permissionset-write,arn:aws:iam::909180469036:role/cloudsec-identitycenter-permissionset-write,Yes,IAM-Identity-Center-Pipeline
cloudsec-identitycenter-pipelinetrigger-write,arn:aws:iam::909180469036:role/cloudsec-identitycenter-pipelinetrigger-write,Yes,IAM-Identity-Center-Pipeline
