RoleName,RoleArn
AccessAnalyzerTrustedService,arn:aws:iam::118575936588:role/AccessAnalyzerTrustedService
Admin,arn:aws:iam::118575936588:role/Admin
AVMContainersUserRole,arn:aws:iam::118575936588:role/AVMContainersUserRole
AWSControlTowerExecution,arn:aws:iam::118575936588:role/AWSControlTowerExecution
awslogs.prod.kelex.molecule.toppatterns,arn:aws:iam::118575936588:role/awslogs.prod.kelex.molecule.toppatterns
AwsSecurityAudit,arn:aws:iam::118575936588:role/AwsSecurityAudit
AwsSecurityNacundaAudit,arn:aws:iam::118575936588:role/AwsSecurityNacundaAudit
AWSVAPTAudit,arn:aws:iam::118575936588:role/AWSVAPTAudit
CloudSecAuditRole,arn:aws:iam::118575936588:role/CloudSecAuditRole
CloudSeerTrustedServiceRole,arn:aws:iam::118575936588:role/CloudSeerTrustedServiceRole
CodeGuruProfilerForwardToAmazonProfiler,arn:aws:iam::118575936588:role/CodeGuruProfilerForwardToAmazonProfiler
DiscoveryAnalyzerTrustedService-DO-NOT-DELETE,arn:aws:iam::118575936588:role/DiscoveryAnalyzerTrustedService-DO-NOT-DELETE
EC2CapacityReservationService,arn:aws:iam::118575936588:role/EC2CapacityReservationService
GatedGardenAudit,arn:aws:iam::118575936588:role/GatedGardenAudit
GatedGardenInternalAudit,arn:aws:iam::118575936588:role/GatedGardenInternalAudit
IibsAdminAccess-DO-NOT-DELETE,arn:aws:iam::118575936588:role/IibsAdminAccess-DO-NOT-DELETE
IMDSv2-automigrator,arn:aws:iam::118575936588:role/IMDSv2-automigrator
importtestrole,arn:aws:iam::118575936588:role/importtestrole
InternalAuditInternal,arn:aws:iam::118575936588:role/InternalAuditInternal
IsengardAuditorRole-DO-NOT-DELETE,arn:aws:iam::118575936588:role/IsengardAuditorRole-DO-NOT-DELETE
IsengardCloudTrailRole,arn:aws:iam::118575936588:role/IsengardCloudTrailRole
IsengardConfigRole,arn:aws:iam::118575936588:role/IsengardConfigRole
IsengardRole-DO-NOT-DELETE,arn:aws:iam::118575936588:role/IsengardRole-DO-NOT-DELETE
IsengardRoleForDependencyAssuranceIamAnalyzer,arn:aws:iam::118575936588:role/IsengardRoleForDependencyAssuranceIamAnalyzer
IsengardRoleForOptInComputeOptimizer,arn:aws:iam::118575936588:role/IsengardRoleForOptInComputeOptimizer
NawsApplicationMetrics-DO-NOT-DELETE,arn:aws:iam::118575936588:role/NawsApplicationMetrics-DO-NOT-DELETE
OrthancRole,arn:aws:iam::118575936588:role/OrthancRole
PipelineStack-TelusShSecurityAcmProvisioningStackte-3GgllA1czIHr,arn:aws:iam::118575936588:role/PipelineStack-TelusShSecurityAcmProvisioningStackte-3GgllA1czIHr
ResourceConfigurationCollector-DO-NOT-DELETE,arn:aws:iam::118575936588:role/ResourceConfigurationCollector-DO-NOT-DELETE
ShadowTrooperRole,arn:aws:iam::118575936588:role/ShadowTrooperRole
StackSet-AWSControlTowerGuardHook-373-ExecutionRole-dfDV3mPSuPao,arn:aws:iam::118575936588:role/StackSet-AWSControlTowerGuardHook-373-ExecutionRole-dfDV3mPSuPao
StackSet-AWSControlTowerGuardHook-373aab98--LogRole-ObzTQ545p6kJ,arn:aws:iam::118575936588:role/StackSet-AWSControlTowerGuardHook-373aab98--LogRole-ObzTQ545p6kJ
StackSet-AWSControlTowerGuardHook-624-ExecutionRole-LIOG6AzWGwwc,arn:aws:iam::118575936588:role/StackSet-AWSControlTowerGuardHook-624-ExecutionRole-LIOG6AzWGwwc
StackSet-AWSControlTowerGuardHook-6240da8f--LogRole-MwxWsNYiDEkR,arn:aws:iam::118575936588:role/StackSet-AWSControlTowerGuardHook-6240da8f--LogRole-MwxWsNYiDEkR
StackSet-AWSControlTowerGuardHook-b12-ExecutionRole-Q99pArEG9wGL,arn:aws:iam::118575936588:role/StackSet-AWSControlTowerGuardHook-b12-ExecutionRole-Q99pArEG9wGL
StackSet-AWSControlTowerGuardHook-b123e1a2--LogRole-89HpGIFQ9Jhj,arn:aws:iam::118575936588:role/StackSet-AWSControlTowerGuardHook-b123e1a2--LogRole-89HpGIFQ9Jhj
stacksets-exec-07747c4a75e4555357cbac8c04dfd877,arn:aws:iam::118575936588:role/stacksets-exec-07747c4a75e4555357cbac8c04dfd877
telus-security-audit-prowler-ecstaskrole,arn:aws:iam::118575936588:role/telus-security-audit-prowler-ecstaskrole
telus-security-audit-prowler-ecstaskrole1,arn:aws:iam::118575936588:role/telus-security-audit-prowler-ecstaskrole1
telus-sh-security-iam-publicResourceLambdaExecutionRole,arn:aws:iam::118575936588:role/telus-sh-security-iam-publicResourceLambdaExecutionRole
telus-sh-security-iamrole-lambda_kms_quicksight_execution_role,arn:aws:iam::118575936588:role/telus-sh-security-iamrole-lambda_kms_quicksight_execution_role
testcrossaccountrole,arn:aws:iam::118575936588:role/testcrossaccountrole
testcrossaccountrole112212,arn:aws:iam::118575936588:role/testcrossaccountrole112212
TurtleRoleManagement,arn:aws:iam::118575936588:role/TurtleRoleManagement
XenaAuditorRole-DO-NOT-DELETE,arn:aws:iam::118575936588:role/XenaAuditorRole-DO-NOT-DELETE
