RoleName,RoleArn
AccessAnalyzerTrustedService,arn:aws:iam::233693416966:role/AccessAnalyzerTrustedService
Admin,arn:aws:iam::233693416966:role/Admin
adminrole,arn:aws:iam::233693416966:role/adminrole
AVMContainersUserRole,arn:aws:iam::233693416966:role/AVMContainersUserRole
aws-controltower-AdministratorExecutionRole,arn:aws:iam::233693416966:role/aws-controltower-AdministratorExecutionRole
aws-controltower-ConfigRecorderRole,arn:aws:iam::233693416966:role/aws-controltower-ConfigRecorderRole
aws-controltower-ForwardSnsNotificationRole,arn:aws:iam::233693416966:role/aws-controltower-ForwardSnsNotificationRole
aws-controltower-ReadOnlyExecutionRole,arn:aws:iam::233693416966:role/aws-controltower-ReadOnlyExecutionRole
AWS-QuickSetup-EnableCRecording-62d8q_ap-northeast-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-northeast-1
AWS-QuickSetup-EnableCRecording-62d8q_ap-northeast-2,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-northeast-2
AWS-QuickSetup-EnableCRecording-62d8q_ap-south-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-south-1
AWS-QuickSetup-EnableCRecording-62d8q_ap-southeast-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-southeast-1
AWS-QuickSetup-EnableCRecording-62d8q_ap-southeast-2,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-southeast-2
AWS-QuickSetup-EnableCRecording-62d8q_ca-central-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_ca-central-1
AWS-QuickSetup-EnableCRecording-62d8q_eu-central-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-central-1
AWS-QuickSetup-EnableCRecording-62d8q_eu-north-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-north-1
AWS-QuickSetup-EnableCRecording-62d8q_eu-west-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-west-1
AWS-QuickSetup-EnableCRecording-62d8q_eu-west-2,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-west-2
AWS-QuickSetup-EnableCRecording-62d8q_eu-west-3,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-west-3
AWS-QuickSetup-EnableCRecording-62d8q_sa-east-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_sa-east-1
AWS-QuickSetup-EnableCRecording-62d8q_us-east-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_us-east-1
AWS-QuickSetup-EnableCRecording-62d8q_us-east-2,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_us-east-2
AWS-QuickSetup-EnableCRecording-62d8q_us-west-1,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_us-west-1
AWS-QuickSetup-EnableCRecording-62d8q_us-west-2,arn:aws:iam::233693416966:role/AWS-QuickSetup-EnableCRecording-62d8q_us-west-2
AWS-QuickSetup-StackSet-Local-AdministrationRole,arn:aws:iam::233693416966:role/AWS-QuickSetup-StackSet-Local-AdministrationRole
AWS-QuickSetup-StackSet-Local-ExecutionRole,arn:aws:iam::233693416966:role/AWS-QuickSetup-StackSet-Local-ExecutionRole
AWSControlTowerExecution,arn:aws:iam::233693416966:role/AWSControlTowerExecution
awslogs.prod.kelex.molecule.toppatterns,arn:aws:iam::233693416966:role/awslogs.prod.kelex.molecule.toppatterns
AwsSecurityAudit,arn:aws:iam::233693416966:role/AwsSecurityAudit
AwsSecurityNacundaAudit,arn:aws:iam::233693416966:role/AwsSecurityNacundaAudit
AWSVAPTAudit,arn:aws:iam::233693416966:role/AWSVAPTAudit
CloudSecAuditRole,arn:aws:iam::233693416966:role/CloudSecAuditRole
CloudSeerTrustedServiceRole,arn:aws:iam::233693416966:role/CloudSeerTrustedServiceRole
CodeGuruProfilerForwardToAmazonProfiler,arn:aws:iam::233693416966:role/CodeGuruProfilerForwardToAmazonProfiler
DiscoveryAnalyzerTrustedService-DO-NOT-DELETE,arn:aws:iam::233693416966:role/DiscoveryAnalyzerTrustedService-DO-NOT-DELETE
EC2CapacityReservationService,arn:aws:iam::233693416966:role/EC2CapacityReservationService
EC2InstanceProfile,arn:aws:iam::233693416966:role/EC2InstanceProfile
eksclusterrole,arn:aws:iam::233693416966:role/eksclusterrole
example-role,arn:aws:iam::233693416966:role/example-role
GatedGardenAudit,arn:aws:iam::233693416966:role/GatedGardenAudit
GatedGardenInternalAudit,arn:aws:iam::233693416966:role/GatedGardenInternalAudit
GitHubActionsRole,arn:aws:iam::233693416966:role/GitHubActionsRole
GitHubActionsRoleforIAMUser,arn:aws:iam::233693416966:role/GitHubActionsRoleforIAMUser
IAMConfigRoleforAutomation,arn:aws:iam::233693416966:role/IAMConfigRoleforAutomation
IibsAdminAccess-DO-NOT-DELETE,arn:aws:iam::233693416966:role/IibsAdminAccess-DO-NOT-DELETE
